,Date,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AFL,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,ANTM,AON,AOS,APA,APD,APH,APTV,ARE,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BAX,BBY,BDX,BEN,BF.B,BIIB,BK,BKNG,BKR,BLK,BLL,BMY,BR,BRK.B,BSX,BWA,BXP,C,CAG,CAH,CARR,CAT,CB,CBOE,CBRE,CCI,CCL,CDNS,CDW,CE,CERN,CF,CFG,CHD,CHRW,CHTR,CI,CINF,CL,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COG,COO,COP,COST,COTY,CPB,CPRT,CRM,CSCO,CSX,CTAS,CTL,CTSH,CTVA,CTXS,CVS,CVX,CXO,D,DAL,DD,DE,DFS,DG,DGX,DHI,DHR,DIS,DISCA,DISCK,DISH,DLR,DLTR,DOV,DOW,DPZ,DRE,DRI,DTE,DUK,DVA,DVN,DXC,DXCM,EA,EBAY,ECL,ED,EFX,EIX,EL,EMN,EMR,EOG,EQIX,EQR,ES,ESS,ETFC,ETN,ETR,EVRG,EW,EXC,EXPD,EXPE,EXR,F,FANG,FAST,FB,FBHS,FCX,FDX,FE,FFIV,FIS,FISV,FITB,FLIR,FLS,FLT,FMC,FOX,FOXA,FRC,FRT,FTI,FTNT,FTV,GD,GE,GILD,GIS,GL,GLW,GM,GOOG,GOOGL,GPC,GPN,GPS,GRMN,GS,GWW,HAL,HAS,HBAN,HBI,HCA,HD,HES,HFC,HIG,HII,HLT,HOG,HOLX,HON,HPE,HPQ,HRB,HRL,HSIC,HST,HSY,HUM,HWM,IBM,ICE,IDXX,IEX,IFF,ILMN,INCY,INFO,INTC,INTU,IP,IPG,IPGP,IQV,IR,IRM,ISRG,IT,ITW,IVZ,J,JBHT,JCI,JKHY,JNJ,JNPR,JPM,JWN,K,KEY,KEYS,KHC,KIM,KLAC,KMB,KMI,KMX,KO,KR,KSS,KSU,L,LB,LDOS,LEG,LEN,LH,LHX,LIN,LKQ,LLY,LMT,LNC,LNT,LOW,LRCX,LUV,LVS,LW,LYB,LYV,MA,MAA,MAR,MAS,MCD,MCHP,MCK,MCO,MDLZ,MDT,MET,MGM,MHK,MKC,MKTX,MLM,MMC,MMM,MNST,MO,MOS,MPC,MRK,MRO,MS,MSCI,MSFT,MSI,MTB,MTD,MU,MXIM,MYL,NBL,NCLH,NDAQ,NEE,NEM,NFLX,NI,NKE,NLOK,NLSN,NOC,NOV,NOW,NRG,NSC,NTAP,NTRS,NUE,NVDA,NVR,NWL,NWS,NWSA,O,ODFL,OKE,OMC,ORCL,ORLY,OTIS,OXY,PAYC,PAYX,PBCT,PCAR,PEAK,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKG,PKI,PLD,PM,PNC,PNR,PNW,PPG,PPL,PRGO,PRU,PSA,PSX,PVH,PWR,PXD,PYPL,QCOM,QRVO,RCL,RE,REG,REGN,RF,RHI,RJF,RL,RMD,ROK,ROL,ROP,ROST,RSG,RTX,SBAC,SBUX,SCHW,SEE,SHW,SIVB,SJM,SLB,SLG,SNA,SNPS,SO,SPG,SPGI,SRE,STE,STT,STX,STZ,SWK,SWKS,SYF,SYK,SYY,T,TAP,TDG,TEL,TFC,TFX,TGT,TIF,TJX,TMO,TMUS,TPR,TROW,TRV,TSCO,TSN,TT,TTWO,TWTR,TXN,TXT,UA,UAA,UAL,UDR,UHS,ULTA,UNH,UNM,UNP,UPS,URI,USB,V,VAR,VFC,VIAC,VLO,VMC,VNO,VRSK,VRSN,VRTX,VTR,VZ,WAB,WAT,WBA,WDC,WEC,WELL,WFC,WHR,WLTW,WM,WMB,WMT,WRB,WRK,WST,WU,WY,WYNN,XEL,XLNX,XOM,XRAY,XRX,XYL,YUM,ZBH,ZBRA,ZION,ZTS
0,2019-01-06,73,9,0,51,24,77,45,11,83,41,0,53,67,28,14,24,16,48,0,68,0,0,19,0,39,31,34,52,0,48,20,0,65,49,57,52,18,59,10,0,0,13,19,33,47,0,30,50,0,76,0,24,0,0,27,47,13,50,54,20,0,72,0,16,73,9,27,0,27,47,88,9,49,0,0,77,0,16,24,64,8,34,34,28,2,19,24,77,0,25,19,34,0,38,61,0,16,24,42,26,31,32,39,93,31,34,21,0,0,37,77,14,0,29,38,19,25,0,16,50,0,13,70,28,22,83,9,31,58,36,18,89,37,0,14,42,0,35,66,38,38,14,17,31,12,49,17,54,11,12,12,21,64,32,84,0,48,36,23,20,0,0,0,67,70,0,27,47,0,21,0,0,17,0,51,21,90,49,0,15,13,71,0,61,0,19,19,0,0,72,38,49,35,49,0,17,0,71,65,5,51,19,0,59,32,19,16,17,26,100,100,0,13,47,37,26,47,51,0,71,46,0,0,14,30,0,39,11,16,0,0,0,0,40,0,59,73,23,0,35,56,0,29,20,52,46,30,0,0,63,16,62,59,24,0,71,0,100,24,28,45,18,27,69,88,70,24,21,0,14,70,0,19,58,0,27,62,60,0,84,30,0,0,81,68,11,29,0,0,64,0,6,0,0,0,6,81,48,44,80,15,74,0,64,0,44,36,6,0,19,0,52,35,32,0,81,46,8,12,10,64,30,22,92,13,65,41,0,7,15,3,50,35,18,35,10,11,0,0,70,15,15,15,42,0,0,0,16,33,16,8,0,57,35,9,0,0,39,16,2,0,0,0,0,61,53,50,22,0,45,24,85,0,0,0,83,40,69,0,26,15,32,53,39,35,0,31,0,0,29,19,15,1,70,65,0,19,49,0,28,58,0,0,32,0,0,0,0,18,0,40,39,66,48,31,0,0,0,61,63,51,24,63,48,42,100,0,38,53,0,0,76,72,0,94,43,0,59,100,59,18,21,0,0,0,71,37,7,32,33,0,19,42,35,1,0,15,47,19,100,100,41,39,36,81,42,25,0,0,0,0,0,0,31,12,47,0,44,19,32,0,71,7,0,0,45,0,19,0,26,71,22,68,11,0,0,23,66,0,0,0,57,0,23,0
1,2019-01-13,77,0,38,38,16,73,0,11,12,20,63,42,71,59,14,71,55,45,52,54,51,0,57,0,57,52,56,53,0,82,24,0,53,16,37,73,14,52,20,0,24,28,37,56,70,49,29,48,13,24,0,29,40,46,26,0,13,56,53,32,0,59,0,0,24,0,45,62,0,0,87,0,12,0,97,79,0,0,83,52,16,64,34,27,1,0,12,80,48,72,38,0,0,19,20,0,15,24,35,25,42,25,38,71,30,43,20,0,34,42,81,12,19,28,60,14,61,0,16,50,0,13,65,9,0,82,9,61,56,30,18,0,24,18,15,42,0,72,22,28,0,11,0,41,23,71,0,0,11,6,0,26,54,32,88,61,47,38,92,59,0,0,78,63,83,0,20,46,0,41,30,0,8,0,55,29,81,52,50,46,26,62,0,60,35,57,38,0,0,47,32,48,68,0,0,33,0,58,57,1,42,29,100,68,26,33,0,16,34,37,82,97,31,50,48,26,58,59,26,23,45,32,0,38,0,26,58,11,16,100,40,25,23,79,0,56,73,23,23,23,27,0,26,36,13,42,0,25,100,59,16,61,60,47,0,74,99,25,0,30,0,33,17,61,88,73,12,22,0,28,53,0,42,8,0,70,58,100,23,89,44,0,0,72,100,21,29,32,0,61,0,5,17,71,0,0,79,0,26,62,23,49,0,49,0,14,24,7,0,37,0,51,17,20,0,71,18,18,12,3,78,41,17,36,26,32,100,0,0,15,1,0,59,35,100,41,0,0,0,0,3,15,0,42,55,30,48,21,33,16,39,0,68,35,9,0,41,29,48,0,0,0,0,0,48,66,49,7,19,84,0,68,0,0,0,41,56,60,0,51,15,32,0,49,35,9,0,32,11,10,13,45,1,86,47,0,38,49,0,27,52,0,0,31,0,0,29,0,10,26,45,63,32,0,50,0,21,0,57,72,0,24,56,48,21,98,24,0,78,0,0,71,88,0,68,25,93,23,0,39,17,0,0,100,0,35,12,61,12,30,28,64,50,5,6,0,15,76,52,54,0,47,39,59,68,0,0,0,11,0,0,23,0,30,0,50,0,32,7,46,15,87,10,26,0,44,0,29,0,0,0,52,53,20,59,0,18,58,57,0,13,0,100,22,0
2,2019-01-20,79,2,63,22,15,46,0,0,58,10,84,52,81,45,0,0,32,77,0,56,0,0,29,0,0,0,11,52,38,35,34,0,48,32,19,65,33,40,10,96,73,13,19,36,46,0,29,55,27,15,0,24,0,0,13,46,7,40,0,19,0,63,0,0,47,9,36,0,26,0,29,26,24,0,0,75,51,0,53,54,24,17,34,27,3,0,35,68,0,36,0,67,0,0,0,0,28,47,45,38,40,19,86,71,45,14,61,29,45,18,82,10,19,56,37,22,37,49,39,56,0,13,58,27,21,75,6,91,54,15,18,29,86,18,12,0,0,55,0,37,0,10,0,81,29,37,0,26,11,6,24,23,66,0,74,0,0,36,46,59,7,0,0,59,34,47,20,23,78,61,61,0,0,0,48,11,80,63,0,15,13,59,0,40,17,19,38,57,0,47,35,0,0,0,0,32,0,35,46,1,67,38,0,62,21,25,16,16,43,19,74,0,18,59,48,0,76,36,64,23,36,0,0,10,15,0,19,33,16,0,0,0,46,0,0,64,77,0,11,23,27,0,27,69,0,52,29,51,0,51,47,55,62,47,0,73,0,25,23,27,15,12,35,65,90,58,12,12,37,28,42,0,26,8,0,9,75,86,0,38,72,0,0,14,22,31,36,0,23,50,32,11,0,0,0,0,69,0,37,48,30,0,0,35,0,0,24,4,0,19,0,34,34,28,94,82,27,18,24,3,65,41,12,54,13,32,60,0,0,45,0,0,25,52,27,10,31,0,27,0,9,16,90,83,0,0,48,27,82,8,23,0,66,35,9,38,40,19,16,2,0,0,0,35,46,26,29,22,0,80,0,68,81,0,0,81,49,56,0,0,61,25,26,21,52,0,0,0,11,24,17,45,1,69,54,15,38,49,24,95,55,0,38,31,0,41,15,42,54,0,39,25,0,47,39,35,41,0,62,40,17,23,56,0,0,39,94,0,78,39,0,78,76,0,63,42,0,12,49,34,0,10,0,25,0,58,12,14,24,30,28,46,45,24,2,0,15,68,35,36,0,45,54,47,75,14,75,0,0,0,0,0,0,30,12,27,0,32,29,100,15,78,10,13,0,18,38,15,0,26,0,88,100,9,29,0,15,56,38,93,51,0,0,29,47
3,2019-01-27,87,2,49,67,68,67,0,11,68,0,62,62,65,41,40,92,54,85,25,61,0,0,19,0,19,81,11,69,0,23,38,0,87,16,100,43,51,75,19,0,0,13,0,55,0,0,0,60,26,13,40,19,0,0,13,0,17,41,52,19,0,82,0,26,47,9,26,0,26,15,66,17,24,57,0,86,25,0,58,72,47,49,0,13,0,36,34,74,0,59,0,0,32,55,39,0,30,23,50,25,31,47,47,55,15,47,10,28,45,37,87,10,38,0,45,13,42,48,38,61,0,13,71,18,21,83,9,78,56,20,12,0,48,0,14,0,0,48,0,18,0,10,0,40,11,37,16,26,22,18,0,23,65,0,81,30,0,36,45,0,0,0,0,55,47,18,33,0,0,50,30,75,0,0,57,9,93,95,0,30,51,55,0,20,17,56,19,0,0,69,40,0,0,0,67,16,0,56,61,3,41,19,33,59,67,31,47,32,34,0,48,0,17,63,0,25,80,42,25,23,44,32,0,27,43,64,38,0,0,49,0,0,45,58,0,71,79,45,56,23,33,49,38,40,12,54,58,50,0,58,15,22,75,23,0,73,0,0,23,19,100,9,9,85,90,83,6,20,18,14,57,0,26,48,0,34,73,66,0,56,0,0,0,57,11,20,56,0,0,72,0,5,0,93,24,5,86,69,23,64,37,48,31,41,0,0,35,9,0,18,0,50,50,28,0,93,35,22,0,13,93,46,37,88,12,0,88,0,0,0,1,48,25,34,19,20,31,0,26,22,6,16,59,0,54,58,95,21,16,15,61,0,65,0,14,0,0,65,8,2,16,0,0,0,60,32,39,49,38,100,47,61,40,0,0,40,39,63,0,0,59,47,0,27,43,17,0,0,0,42,27,29,1,84,70,0,37,0,0,27,59,32,37,91,66,80,29,14,18,13,39,25,32,0,15,0,0,0,69,53,16,46,49,47,20,96,0,0,51,58,0,96,64,0,72,25,0,45,0,44,0,20,0,73,0,34,24,40,35,21,0,33,49,14,0,0,29,62,20,35,0,45,68,81,79,27,0,0,65,0,0,0,0,15,0,65,0,74,18,31,30,69,3,100,0,43,0,26,0,25,0,7,78,22,58,91,19,61,19,46,99,0,0,15,0
4,2019-02-03,89,6,0,32,23,84,11,21,68,10,0,92,56,92,13,46,54,71,51,78,0,0,74,0,37,10,22,65,0,23,14,0,53,32,18,50,45,58,29,0,24,21,0,55,23,0,0,64,26,38,0,42,39,23,13,45,19,48,0,25,32,76,0,26,29,26,61,15,52,15,19,17,24,0,0,91,49,15,81,50,55,27,22,27,2,54,79,51,47,47,0,65,16,36,29,0,25,46,28,12,26,96,37,86,44,14,30,28,56,30,86,25,0,27,50,21,30,24,30,97,0,0,51,9,0,79,9,78,56,20,41,0,24,18,17,41,0,42,64,0,0,9,25,40,23,26,16,52,0,17,0,100,69,0,60,0,0,40,0,0,0,0,0,66,40,9,26,0,0,40,0,75,24,0,41,13,78,76,49,44,38,60,0,29,34,56,19,0,61,46,38,47,67,0,0,79,40,56,50,6,70,84,97,72,82,65,47,16,67,36,48,0,13,69,35,0,68,42,13,0,35,0,0,24,29,13,38,22,15,0,0,48,45,96,0,51,87,0,100,68,33,0,33,36,12,49,57,25,0,79,15,43,81,0,0,78,0,24,34,29,14,11,0,88,90,79,12,23,36,14,26,0,26,32,0,25,100,53,0,43,14,16,0,64,22,51,42,32,0,64,0,5,0,23,24,0,90,46,25,64,22,83,0,54,18,14,37,5,0,18,0,50,99,36,0,86,35,25,12,6,100,62,26,71,25,0,83,0,6,44,0,0,41,51,21,40,20,0,0,0,17,16,29,41,0,0,47,31,32,8,61,0,67,68,9,37,0,46,39,2,31,48,0,34,53,58,38,0,19,78,23,36,0,0,0,0,71,59,0,25,44,34,0,38,60,17,29,0,0,19,20,44,0,77,63,14,28,0,24,27,73,96,0,0,33,0,7,14,23,0,58,12,32,0,15,34,40,47,85,67,33,31,49,23,20,77,0,0,51,19,0,100,58,19,86,25,0,0,48,49,17,30,0,49,35,68,12,7,100,100,27,21,27,38,3,0,14,79,17,17,48,49,53,46,75,66,24,0,11,34,0,0,0,15,11,39,0,84,25,44,15,98,10,37,33,52,37,25,0,13,0,57,91,11,57,45,21,57,0,0,74,27,0,7,0
5,2019-02-10,85,6,37,30,38,52,22,11,34,10,42,21,51,66,0,0,39,58,26,87,100,0,0,0,0,20,44,67,0,23,33,0,44,32,18,43,31,40,68,0,24,16,37,47,0,0,0,61,13,100,0,23,39,23,13,92,14,44,52,32,0,62,0,10,59,26,62,31,0,0,38,34,72,57,0,76,100,63,41,63,8,41,100,40,0,36,46,71,48,36,19,66,0,18,40,0,30,0,22,25,38,44,66,84,15,85,20,29,0,43,88,25,38,0,50,54,66,0,100,73,0,0,62,9,42,70,9,71,58,25,12,29,36,54,17,0,0,34,21,18,0,9,17,30,11,52,16,0,22,35,0,98,63,31,68,30,0,39,0,0,0,0,0,69,41,9,7,23,0,20,60,0,24,0,50,13,76,77,0,15,13,66,46,30,52,56,19,57,0,23,41,0,67,24,34,48,0,23,47,4,66,57,0,59,52,27,31,65,25,37,32,0,22,65,35,0,69,50,13,23,54,64,0,20,15,51,19,11,94,49,0,0,23,39,0,51,81,0,34,46,20,49,30,30,0,39,29,100,0,69,31,38,80,47,0,79,0,24,23,25,14,14,17,84,100,80,18,27,18,27,62,0,67,32,0,60,63,69,0,75,29,0,0,79,11,21,28,0,23,60,0,10,0,0,0,0,84,23,48,54,23,36,0,69,0,0,43,6,92,18,0,85,34,39,0,94,44,10,36,3,99,29,11,36,63,0,94,0,13,30,1,0,17,35,19,100,21,0,0,91,12,17,30,21,0,0,0,47,49,100,38,0,82,68,14,38,0,56,39,2,31,0,0,34,64,65,10,7,0,53,24,52,40,0,93,80,42,64,0,0,0,44,0,17,86,0,0,32,42,28,25,30,1,95,40,0,28,0,24,54,37,0,38,31,67,0,14,0,10,0,49,62,0,0,30,35,0,0,83,100,0,39,55,47,0,0,23,0,0,0,0,92,70,39,48,33,0,23,24,45,0,20,0,25,36,69,12,40,27,50,0,18,76,72,1,0,15,57,31,26,24,59,46,43,77,40,0,0,33,0,37,0,0,15,0,33,0,85,25,9,60,79,19,38,0,35,38,23,0,13,0,15,66,9,58,0,19,81,19,0,25,28,0,35,0
6,2019-02-17,84,2,100,24,15,61,22,21,34,0,0,21,65,41,13,47,31,53,26,76,0,0,19,38,38,10,22,67,38,12,48,0,36,16,18,36,38,41,19,0,96,13,0,40,46,49,0,64,13,32,0,38,0,0,13,0,13,46,0,6,65,55,0,5,71,17,71,46,0,61,29,13,36,0,96,80,0,16,59,61,40,19,45,27,2,55,23,55,48,83,19,66,0,18,70,24,28,0,54,12,37,28,47,79,15,33,20,0,22,29,85,10,38,83,41,22,42,0,31,24,0,0,100,18,0,97,6,64,57,20,18,29,36,18,12,0,0,49,22,18,0,9,34,60,6,41,16,26,11,18,0,45,67,31,73,91,93,40,0,58,0,30,0,60,41,9,20,23,0,40,30,38,0,0,50,29,80,64,50,90,26,72,0,50,52,38,19,0,0,47,40,0,0,0,0,0,40,46,57,2,87,85,66,66,63,23,16,32,34,74,45,0,26,72,12,77,57,45,38,23,36,96,0,31,0,26,48,0,31,0,0,24,92,19,0,56,59,0,34,46,14,0,41,30,100,36,0,0,0,87,46,54,92,47,0,79,0,97,23,20,14,11,0,86,91,57,100,23,0,55,52,0,52,89,0,34,57,64,45,63,14,16,0,36,33,31,28,0,46,62,0,9,0,0,25,0,83,23,20,95,30,48,0,41,0,14,38,4,0,18,0,17,17,6,0,94,62,10,24,6,94,52,14,0,0,31,89,0,7,15,0,24,50,17,17,50,31,0,79,45,12,16,15,41,0,0,0,11,49,38,54,0,66,68,9,0,40,28,16,0,32,0,0,34,50,32,39,28,38,48,0,31,0,0,0,0,62,64,79,25,75,28,0,24,77,0,0,32,21,47,19,15,1,72,53,0,75,0,24,81,58,32,0,61,100,0,29,28,18,0,56,100,32,47,31,0,0,0,92,68,33,16,66,23,20,58,0,37,0,19,0,79,78,19,19,50,0,0,24,47,17,10,31,49,0,23,12,27,43,35,0,15,36,10,2,0,29,57,19,26,49,54,84,47,65,54,0,0,11,0,0,22,0,15,0,43,13,64,25,13,30,76,10,50,33,26,38,66,94,13,0,44,86,9,58,92,27,60,19,0,0,28,0,100,0
7,2019-02-24,83,2,25,23,8,76,11,11,11,10,0,31,45,51,53,23,93,46,76,71,49,92,28,0,37,20,33,69,0,34,19,0,41,32,36,57,30,34,29,0,0,21,36,63,45,0,29,57,39,13,0,14,78,0,26,45,18,39,0,100,0,53,0,10,41,60,44,30,0,45,47,29,35,0,0,78,25,46,29,68,55,49,0,13,0,18,0,35,0,12,19,0,0,54,78,23,42,0,40,37,50,25,65,65,30,47,10,28,100,37,88,15,56,0,41,37,36,0,61,48,0,0,72,9,41,75,6,78,55,20,0,28,12,71,9,0,0,45,21,9,0,9,8,60,6,55,0,0,0,17,12,45,71,31,69,60,46,41,45,19,21,30,38,68,40,9,33,22,0,30,0,37,16,0,53,13,71,72,0,30,13,60,0,29,17,37,19,56,30,23,37,47,100,0,0,0,0,23,53,1,57,37,0,72,31,29,0,32,17,50,48,0,9,69,35,0,79,76,25,23,18,0,0,13,0,0,47,54,31,0,0,72,0,0,0,51,72,0,56,23,60,0,34,35,49,41,57,49,0,68,45,38,80,23,57,88,0,96,23,26,28,15,26,90,95,90,93,20,36,54,77,0,44,32,12,34,99,66,22,56,14,81,0,85,11,71,35,0,0,63,31,12,0,0,0,0,76,23,28,53,45,12,0,54,36,14,38,7,0,0,51,17,66,16,0,90,44,12,35,13,91,85,27,71,25,0,78,96,6,15,3,0,99,17,19,10,0,0,52,45,11,18,29,0,54,0,47,16,0,30,30,0,81,34,14,0,0,28,23,5,47,0,0,68,52,51,48,0,19,52,0,61,40,76,0,79,45,69,0,0,15,34,0,21,51,9,0,0,0,33,14,29,1,83,59,0,28,0,48,80,59,0,37,91,33,0,14,27,13,13,57,25,0,0,19,34,40,0,78,28,33,0,60,23,61,19,92,0,0,0,32,93,66,0,95,58,0,34,24,57,34,20,31,24,35,68,0,40,27,18,0,18,62,38,2,0,14,59,40,35,24,47,0,57,76,66,24,0,22,0,0,0,0,44,23,35,100,31,32,22,44,75,13,25,65,17,0,45,0,51,0,43,75,6,29,0,18,68,19,0,37,0,0,39,0
8,2019-03-03,78,4,0,26,31,65,11,22,23,0,0,42,43,80,27,47,16,42,26,73,0,0,38,0,19,82,56,63,0,35,24,0,30,32,19,87,36,48,10,0,24,88,19,48,23,49,0,51,13,10,0,33,0,23,0,0,16,40,53,19,33,85,100,5,41,26,9,46,0,15,48,17,12,0,0,81,25,16,30,55,48,28,11,27,1,18,58,40,48,60,29,100,0,19,90,24,15,0,45,13,34,19,38,100,30,57,0,0,23,49,85,17,0,28,83,16,12,0,31,37,0,26,99,27,0,76,0,27,53,5,12,29,85,36,9,0,0,64,22,65,0,9,0,20,6,41,0,26,11,12,12,30,59,0,84,0,0,48,0,39,14,0,0,58,21,9,13,69,0,61,0,0,16,0,48,16,73,82,100,45,0,56,0,40,17,19,0,0,0,47,32,0,17,0,0,0,0,0,54,2,63,76,0,72,32,21,16,0,43,28,33,0,0,60,0,0,46,38,13,46,45,0,0,24,29,0,19,22,16,50,40,73,23,0,0,62,50,69,23,12,20,0,27,27,13,33,0,0,0,37,31,71,74,47,29,87,0,24,0,19,73,13,17,78,79,69,36,22,0,14,47,0,34,24,12,43,76,62,0,70,29,0,0,58,0,21,21,32,0,57,0,7,0,0,25,0,81,71,26,48,23,36,31,28,0,43,37,5,0,0,0,0,68,20,0,90,45,3,36,3,78,46,18,18,13,0,55,0,7,15,1,0,17,0,15,30,10,0,27,46,3,14,90,21,0,30,0,27,65,0,46,61,79,0,9,0,40,38,32,2,64,0,0,35,47,65,39,14,19,35,24,68,0,78,0,0,39,62,0,0,45,60,26,24,35,0,30,0,11,24,14,0,1,89,67,15,38,0,49,27,62,33,38,62,0,0,15,42,15,0,43,50,0,0,4,0,0,0,70,18,0,8,56,47,21,0,23,37,0,59,0,70,73,0,39,25,0,23,0,51,35,20,0,0,0,46,36,27,43,24,0,100,41,5,2,0,44,51,52,44,24,38,23,59,77,14,0,0,55,0,0,23,0,0,0,27,38,64,33,27,30,69,6,13,100,35,38,33,0,13,0,44,70,11,59,0,22,84,19,0,13,0,0,20,0
9,2019-03-10,79,7,0,30,55,65,11,11,24,20,22,43,40,64,42,48,40,50,0,82,0,0,38,39,39,32,45,57,0,24,29,0,45,82,9,15,30,36,40,0,74,5,0,29,0,50,30,51,27,19,0,34,0,0,27,0,100,64,0,39,0,68,51,5,42,0,18,32,27,47,39,0,37,59,0,79,26,49,48,45,16,48,34,56,2,38,35,8,0,0,0,34,0,57,41,0,16,0,52,51,33,55,29,84,15,54,31,89,46,18,86,12,20,0,57,31,37,0,24,44,0,13,81,18,43,72,6,31,54,26,25,30,62,18,14,42,0,27,22,19,0,8,17,72,24,34,34,0,23,12,24,22,69,32,82,0,0,40,70,0,7,0,0,68,63,10,21,23,40,94,0,0,0,0,48,11,74,94,0,0,13,54,0,31,0,0,0,0,0,48,38,0,87,0,0,17,0,47,65,3,94,68,0,54,38,23,0,17,44,57,46,0,22,49,24,26,42,35,26,0,46,99,0,21,15,27,20,11,0,0,0,100,0,0,0,40,55,0,12,24,35,0,24,29,13,25,0,0,51,60,48,45,69,24,0,72,0,25,0,24,15,14,0,78,92,86,55,23,19,0,48,55,54,25,12,80,64,44,0,71,89,0,0,52,45,42,87,33,0,63,0,20,0,24,0,0,100,24,23,63,39,62,0,57,19,15,35,6,0,38,0,35,87,17,0,91,54,10,25,3,67,47,24,37,26,32,76,0,0,31,0,0,52,0,15,41,32,0,27,47,12,15,46,0,0,0,49,27,17,32,47,0,83,35,0,0,0,39,49,2,16,0,0,71,59,27,50,15,20,36,24,69,0,0,0,0,50,63,0,0,0,32,0,36,53,9,0,0,11,20,21,0,0,85,52,0,58,0,25,42,55,100,39,32,0,0,15,29,16,0,43,52,0,0,24,0,42,0,70,37,0,32,80,73,0,20,24,38,0,20,0,76,69,0,75,9,0,12,0,45,53,21,32,76,37,36,24,21,20,19,57,65,32,10,1,35,30,69,23,18,25,40,79,60,76,42,0,0,0,0,38,0,0,15,0,40,39,33,41,19,0,69,20,0,0,54,39,20,0,40,0,30,75,14,90,47,26,69,78,0,26,0,0,25,0
