,Date,Entire US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
27,1/12/2020,61,63,58,62,62,57,56,58,59,55,60,60,53,54,57,68,62,62,70,61,55,59,63,56,63,66,65,55,64,58,59,56,57,68,68,55,63,69,58,62,65,65,63,72,66,60,54,60,58,62,57,
28,1/19/2020,63,66,63,64,66,61,60,59,60,54,61,63,56,59,63,71,65,65,70,63,58,61,64,59,62,69,71,60,68,62,63,57,60,64,67,58,65,70,61,66,70,67,69,73,68,64,55,61,65,65,58,
29,1/26/2020,68,79,70,70,71,67,63,64,65,63,63,64,64,63,67,74,71,69,74,64,62,66,72,61,61,71,70,61,71,67,68,60,63,67,70,63,69,74,62,68,73,70,70,71,70,67,60,65,68,70,61,
30,2/2/2020,64,87,64,63,67,62,59,63,64,60,62,59,59,59,65,69,68,63,72,64,59,64,69,57,58,68,64,57,68,61,61,61,61,63,68,58,66,67,60,65,72,69,67,69,67,62,56,63,64,67,60,
31,2/9/2020,64,84,64,63,65,63,59,62,63,59,63,58,63,58,62,68,68,67,71,65,60,65,65,57,59,68,68,58,68,62,60,58,59,66,69,56,64,69,59,63,71,68,66,69,67,63,56,60,63,64,59,
32,2/16/2020,65,72,62,63,67,62,59,63,64,56,65,60,63,60,63,70,69,68,72,63,57,65,64,58,58,68,69,59,70,64,62,59,60,68,73,60,65,71,60,66,70,68,67,71,69,64,59,62,62,67,61,
33,2/23/2020,69,69,69,68,70,71,67,69,67,68,67,63,71,64,68,73,73,70,93,60,66,73,74,62,63,67,71,65,74,69,63,65,65,72,75,63,68,77,71,69,78,73,70,72,74,73,61,67,74,71,65,
34,3/1/2020,74,73,71,72,72,75,74,75,73,78,73,74,74,69,71,77,73,71,88,71,70,77,78,62,67,72,73,69,75,78,74,72,69,79,78,65,70,77,76,74,85,78,72,74,77,75,68,71,91,71,65,
35,3/8/2020,89,88,88,83,89,91,94,89,91,100,85,91,90,87,89,92,94,87,94,87,91,94,98,85,83,82,89,90,91,90,86,91,91,99,89,79,91,90,88,87,92,87,90,89,88,94,85,90,92,86,84,
36,3/15/2020,100,100,100,100,100,100,100,100,100,84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
37,3/22/2020,88,88,96,94,85,89,86,88,91,67,89,92,86,89,87,92,98,89,89,86,86,89,90,94,86,88,90,91,86,89,92,90,90,86,89,91,82,94,86,89,91,92,97,89,88,93,85,91,89,92,87,
38,3/29/2020,83,83,86,87,77,83,77,83,87,60,81,82,81,82,80,84,85,83,81,77,87,85,86,83,78,85,81,85,80,83,86,85,78,81,83,83,77,86,81,85,91,85,90,82,84,85,78,82,82,83,77,
39,4/5/2020,78,78,83,83,77,81,75,77,84,59,79,79,78,82,78,80,79,81,80,73,78,83,84,76,75,79,79,77,79,81,83,80,78,78,79,79,75,83,77,80,82,81,87,78,81,79,74,78,78,78,73,
40,4/12/2020,72,70,74,74,68,73,70,72,77,54,71,72,71,70,73,75,76,75,75,65,72,77,76,74,70,73,72,70,73,75,75,74,69,71,73,69,68,77,69,75,77,73,82,69,73,74,66,72,70,73,69,
41,4/19/2020,70,67,71,71,66,71,65,71,75,51,66,65,67,66,71,72,74,69,73,65,67,73,74,65,65,70,69,67,68,70,69,71,66,67,77,67,67,71,67,73,74,73,73,70,71,70,59,68,68,69,65,
42,4/26/2020,63,62,63,65,62,67,61,64,69,48,60,60,62,60,63,69,70,65,66,59,64,68,69,58,60,65,62,58,63,66,65,65,61,62,68,59,62,66,63,66,71,66,66,63,65,65,59,64,64,63,58,
43,5/3/2020,63,61,61,64,61,64,60,63,68,47,60,65,59,58,62,65,69,63,67,58,62,66,66,59,61,65,63,56,65,65,65,64,61,67,64,60,61,66,61,65,69,64,67,64,65,63,59,62,62,63,58,
44,5/10/2020,61,61,60,65,62,65,59,62,63,47,60,63,58,57,62,67,69,65,64,59,60,67,66,57,61,64,62,57,62,63,64,62,60,63,63,56,60,65,62,63,68,65,67,64,65,65,59,61,64,60,59,
45,5/17/2020,61,62,62,63,62,65,58,61,66,47,62,63,56,57,61,66,67,61,66,61,59,68,66,56,59,63,62,56,62,64,62,63,58,61,66,56,60,63,62,63,68,68,64,66,65,64,55,62,64,59,58,
46,5/24/2020,58,59,57,60,60,60,55,58,61,42,56,59,54,53,56,59,62,58,61,56,57,64,60,54,52,60,58,53,59,61,60,58,55,57,63,49,56,62,58,57,63,65,56,62,61,59,53,58,60,57,53,
47,5/31/2020,57,58,57,61,59,58,56,58,60,41,57,58,52,54,54,60,61,57,61,56,56,61,59,53,52,61,59,54,55,61,57,57,54,60,61,48,56,60,58,56,62,63,58,60,61,61,52,58,58,55,51,
48,6/7/2020,59,60,56,64,62,60,57,59,62,44,60,62,53,56,57,62,65,60,63,57,59,61,61,54,54,64,61,56,57,64,59,59,56,61,65,49,57,64,62,59,63,66,59,64,64,63,52,59,61,56,54,
49,6/14/2020,60,62,57,67,61,61,57,58,63,43,62,60,56,58,56,61,64,60,63,59,57,61,61,54,55,63,61,57,58,66,56,59,56,58,65,51,56,65,58,59,63,69,60,63,68,62,52,60,60,58,53,
50,6/21/2020,62,64,57,69,62,64,59,59,64,44,65,64,55,61,59,63,65,62,65,63,61,63,64,60,55,66,63,59,60,65,61,60,59,60,68,51,59,66,59,61,66,70,62,66,71,66,54,62,61,60,56,
51,6/28/2020,61,62,57,68,60,63,59,58,65,41,63,63,54,58,58,61,63,59,63,60,62,61,64,57,54,63,60,59,59,63,60,59,60,60,64,49,57,66,59,61,65,67,59,64,69,62,55,60,61,57,55,
