,Date,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AFL,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,ANTM,AON,AOS,APA,APD,APH,APTV,ARE,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BAX,BBY,BDX,BEN,BF.B,BIIB,BK,BKNG,BKR,BLK,BLL,BMY,BR,BRK.B,BSX,BWA,BXP,C,CAG,CAH,CARR,CAT,CB,CBOE,CBRE,CCI,CCL,CDNS,CDW,CE,CERN,CF,CFG,CHD,CHRW,CHTR,CI,CINF,CL,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COG,COO,COP,COST,COTY,CPB,CPRT,CRM,CSCO,CSX,CTAS,CTL,CTSH,CTVA,CTXS,CVS,CVX,CXO,D,DAL,DD,DE,DFS,DG,DGX,DHI,DHR,DIS,DISCA,DISCK,DISH,DLR,DLTR,DOV,DOW,DPZ,DRE,DRI,DTE,DUK,DVA,DVN,DXC,DXCM,EA,EBAY,ECL,ED,EFX,EIX,EL,EMN,EMR,EOG,EQIX,EQR,ES,ESS,ETFC,ETN,ETR,EVRG,EW,EXC,EXPD,EXPE,EXR,F,FANG,FAST,FB,FBHS,FCX,FDX,FE,FFIV,FIS,FISV,FITB,FLIR,FLS,FLT,FMC,FOX,FOXA,FRC,FRT,FTI,FTNT,FTV,GD,GE,GILD,GIS,GL,GLW,GM,GOOG,GOOGL,GPC,GPN,GPS,GRMN,GS,GWW,HAL,HAS,HBAN,HBI,HCA,HD,HES,HFC,HIG,HII,HLT,HOG,HOLX,HON,HPE,HPQ,HRB,HRL,HSIC,HST,HSY,HUM,HWM,IBM,ICE,IDXX,IEX,IFF,ILMN,INCY,INFO,INTC,INTU,IP,IPG,IPGP,IQV,IR,IRM,ISRG,IT,ITW,IVZ,J,JBHT,JCI,JKHY,JNJ,JNPR,JPM,JWN,K,KEY,KEYS,KHC,KIM,KLAC,KMB,KMI,KMX,KO,KR,KSS,KSU,L,LB,LDOS,LEG,LEN,LH,LHX,LIN,LKQ,LLY,LMT,LNC,LNT,LOW,LRCX,LUV,LVS,LW,LYB,LYV,MA,MAA,MAR,MAS,MCD,MCHP,MCK,MCO,MDLZ,MDT,MET,MGM,MHK,MKC,MKTX,MLM,MMC,MMM,MNST,MO,MOS,MPC,MRK,MRO,MS,MSCI,MSFT,MSI,MTB,MTD,MU,MXIM,MYL,NBL,NCLH,NDAQ,NEE,NEM,NFLX,NI,NKE,NLOK,NLSN,NOC,NOV,NOW,NRG,NSC,NTAP,NTRS,NUE,NVDA,NVR,NWL,NWS,NWSA,O,ODFL,OKE,OMC,ORCL,ORLY,OTIS,OXY,PAYC,PAYX,PBCT,PCAR,PEAK,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKG,PKI,PLD,PM,PNC,PNR,PNW,PPG,PPL,PRGO,PRU,PSA,PSX,PVH,PWR,PXD,PYPL,QCOM,QRVO,RCL,RE,REG,REGN,RF,RHI,RJF,RL,RMD,ROK,ROL,ROP,ROST,RSG,RTX,SBAC,SBUX,SCHW,SEE,SHW,SIVB,SJM,SLB,SLG,SNA,SNPS,SO,SPG,SPGI,SRE,STE,STT,STX,STZ,SWK,SWKS,SYF,SYK,SYY,T,TAP,TDG,TEL,TFC,TFX,TGT,TIF,TJX,TMO,TMUS,TPR,TROW,TRV,TSCO,TSN,TT,TTWO,TWTR,TXN,TXT,UA,UAA,UAL,UDR,UHS,ULTA,UNH,UNM,UNP,UPS,URI,USB,V,VAR,VFC,VIAC,VLO,VMC,VNO,VRSK,VRSN,VRTX,VTR,VZ,WAB,WAT,WBA,WDC,WEC,WELL,WFC,WHR,WLTW,WM,WMB,WMT,WRB,WRK,WST,WU,WY,WYNN,XEL,XLNX,XOM,XRAY,XRX,XYL,YUM,ZBH,ZBRA,ZION,ZTS
0,2017-01-01,63,5,7,14,6,50,0,35,12,15,33,35,51,54,0,0,35,51,65,64,0,0,0,53,99,0,15,47,37,52,13,0,28,13,58,8,6,10,5,0,0,17,0,23,25,22,0,38,43,9,0,10,0,0,28,66,4,39,0,42,0,33,0,9,13,0,71,0,0,47,55,25,12,0,0,66,33,41,21,31,62,5,14,70,3,21,0,56,0,35,0,32,41,32,24,0,40,0,27,41,28,17,86,66,31,41,10,0,46,52,65,9,32,0,48,9,22,0,27,35,0,0,47,11,0,63,0,33,49,10,30,0,0,0,13,0,0,51,58,8,36,4,9,15,0,27,0,25,36,0,0,11,74,0,55,0,0,30,0,26,10,0,38,57,37,41,0,21,0,22,0,0,12,57,39,8,79,22,0,79,13,29,0,25,21,29,22,0,0,81,34,0,0,26,0,0,0,36,42,7,36,29,0,46,39,27,22,0,69,14,71,0,24,37,55,0,45,47,0,48,23,26,26,11,20,32,13,44,14,0,0,0,0,42,0,41,58,21,12,29,14,21,31,17,0,29,27,0,0,41,0,11,51,81,0,65,0,25,0,19,24,12,0,58,91,56,0,18,26,37,27,0,12,24,21,16,52,66,0,43,45,27,0,17,40,0,68,0,0,51,0,8,0,21,0,0,69,31,28,48,11,32,0,28,0,44,25,4,0,15,0,27,48,20,0,73,15,12,15,24,60,25,7,45,0,0,19,0,36,0,1,0,50,0,7,29,32,0,0,17,17,13,13,46,0,0,0,36,13,0,32,53,65,0,0,27,0,20,11,5,18,0,0,0,42,45,62,8,21,46,0,58,0,0,0,0,25,54,26,0,14,28,0,41,61,0,0,0,0,0,6,17,0,45,77,32,8,71,0,83,29,67,0,0,0,0,0,18,11,0,30,9,0,0,22,51,0,0,45,47,0,0,38,0,25,43,18,42,0,16,0,62,44,20,66,40,54,0,0,51,0,21,0,0,27,17,18,59,8,19,0,0,65,9,1,0,31,32,22,22,22,45,19,40,57,11,0,0,11,0,0,26,0,11,22,34,0,36,22,14,35,76,10,24,0,42,35,7,0,30,33,81,38,12,0,0,17,59,90,0,12,0,0,27,0
1,2017-01-08,66,2,19,15,25,60,0,5,0,0,64,11,67,41,12,21,17,56,0,59,0,0,22,52,19,0,28,58,0,30,0,0,29,61,24,31,6,14,14,0,0,15,0,55,24,43,0,38,21,23,0,9,0,0,27,0,4,45,0,12,35,90,0,4,32,0,0,74,28,15,72,12,23,0,0,63,0,40,17,39,60,6,13,14,3,0,26,49,0,34,26,0,0,0,39,19,20,0,59,31,29,35,37,67,15,52,10,0,15,49,68,30,31,0,46,9,13,0,13,37,0,45,48,11,0,63,11,29,57,9,43,0,48,16,20,0,0,30,19,8,35,4,0,45,7,44,0,24,12,0,25,5,63,0,57,0,0,33,0,13,10,0,36,51,98,20,22,0,0,55,21,32,0,55,36,12,81,18,0,51,31,43,0,25,0,43,42,51,0,38,31,0,50,0,70,44,0,23,51,4,31,37,27,50,38,11,43,55,84,26,41,0,6,41,11,0,24,47,15,92,91,49,0,21,38,31,13,14,0,0,0,24,0,20,0,61,65,0,59,14,64,0,28,16,0,46,0,14,0,48,0,6,52,0,0,67,52,72,0,13,47,26,0,100,91,48,10,17,0,17,32,26,19,15,0,38,56,60,20,36,0,26,0,68,0,44,16,0,0,53,0,8,18,0,0,0,66,0,39,38,52,31,0,60,0,43,33,3,0,15,0,26,46,14,0,79,15,31,0,5,68,89,5,44,24,0,5,0,17,0,1,0,40,31,6,56,8,0,0,34,11,13,13,0,0,31,0,29,38,0,24,0,62,25,10,0,21,0,10,3,0,0,0,26,59,58,30,7,20,25,0,56,0,0,0,0,45,50,25,51,27,24,0,33,15,11,0,0,0,16,6,0,0,64,38,0,40,0,0,48,42,0,70,51,0,0,6,18,10,17,22,17,34,0,4,0,19,45,61,50,0,7,42,20,0,0,0,0,0,15,0,70,62,0,54,59,0,11,0,47,18,14,0,0,0,8,0,38,8,22,0,0,39,21,2,0,29,43,18,21,0,38,13,31,58,11,0,0,22,0,0,0,0,10,21,26,0,56,3,27,23,78,30,0,0,0,34,18,0,0,0,43,26,6,26,0,12,76,87,30,34,0,0,8,0
2,2017-01-15,69,9,13,12,6,52,0,0,0,0,16,11,84,62,12,62,59,90,41,56,0,0,0,0,19,0,42,56,0,0,8,0,22,24,24,16,10,9,5,0,0,10,0,49,24,0,0,44,41,6,43,14,0,76,13,32,8,51,0,29,0,63,0,0,32,0,39,24,28,45,53,30,11,0,49,65,31,59,17,53,34,2,13,0,0,0,9,49,100,11,25,31,20,30,23,0,36,27,52,31,34,9,18,86,0,56,20,0,44,55,80,11,0,0,40,11,63,0,0,36,0,44,39,41,16,59,8,60,56,9,42,24,35,0,27,51,0,65,0,8,34,4,25,0,0,26,0,48,11,0,0,8,68,0,61,0,0,33,0,25,0,0,0,53,70,10,21,20,0,43,21,0,0,0,30,4,88,32,97,50,12,47,50,12,0,14,21,0,0,38,36,19,0,25,0,21,81,23,37,3,44,46,0,41,85,29,21,0,91,13,56,0,51,49,21,26,100,52,0,46,44,0,0,36,19,60,38,28,13,0,32,0,0,20,0,44,65,0,11,56,18,0,29,9,0,39,26,0,0,51,0,22,52,26,0,72,0,71,0,11,6,18,0,69,88,53,5,22,0,17,52,0,11,31,0,52,58,47,0,47,42,51,0,33,19,32,16,0,28,55,0,6,18,20,0,0,71,29,32,43,10,8,0,33,51,21,47,4,0,44,0,25,0,8,0,78,15,3,14,14,69,39,5,43,23,0,13,0,34,12,0,0,39,0,28,45,23,0,0,16,8,14,37,43,0,45,63,17,75,0,23,0,67,25,10,0,20,6,51,0,0,0,41,0,63,29,29,7,0,58,0,60,0,0,0,0,45,49,24,0,65,17,0,13,59,0,0,34,17,10,6,48,1,56,74,0,39,0,0,47,35,0,0,25,37,0,0,0,10,17,30,0,0,0,16,0,38,44,44,36,0,14,50,0,24,41,18,40,0,0,0,77,64,0,39,0,51,11,0,57,0,20,33,13,0,16,9,56,4,21,0,10,81,20,1,0,44,34,26,57,0,45,37,53,61,0,0,0,21,0,39,0,0,40,21,6,0,14,14,22,0,71,40,11,0,10,0,9,0,14,31,60,48,5,25,0,14,65,34,0,34,31,0,10,0
3,2017-01-22,76,2,19,18,6,59,0,10,12,0,31,76,100,55,24,21,58,73,21,69,91,0,22,51,19,0,28,62,35,39,8,0,22,47,31,31,10,16,0,0,0,13,25,58,70,0,0,54,0,16,0,41,0,0,13,0,9,49,0,17,0,81,0,8,13,0,29,0,28,75,18,12,22,0,0,72,0,39,30,66,50,6,38,40,0,20,25,52,0,33,12,0,58,100,30,0,33,0,41,31,35,21,63,69,30,28,29,0,15,33,78,7,15,33,55,19,53,29,0,38,0,0,48,31,0,59,8,74,55,9,42,24,0,0,7,0,0,58,18,8,68,6,0,29,21,30,40,47,11,0,0,14,81,0,69,3,0,31,69,37,9,0,35,50,87,39,0,98,0,21,62,0,12,0,46,8,82,29,48,100,25,42,0,12,0,42,21,0,0,19,37,0,98,0,34,21,0,57,31,1,34,63,26,58,85,44,31,0,41,0,60,0,28,59,62,26,38,61,15,45,55,0,0,41,37,30,38,14,13,33,0,23,19,40,0,28,66,20,23,14,18,0,35,34,0,64,0,0,0,55,0,38,66,26,0,64,0,47,0,27,17,18,14,73,92,47,5,18,49,68,68,0,22,82,0,96,77,51,0,47,70,0,0,41,31,21,80,0,0,64,0,11,36,0,0,0,76,0,26,43,30,8,66,20,25,21,38,2,0,0,0,51,15,11,0,88,72,11,0,14,79,55,13,14,23,36,15,63,34,0,2,51,0,15,11,36,15,0,0,33,17,18,31,22,0,15,31,6,62,8,15,0,73,0,0,0,0,43,71,5,0,0,0,0,58,50,15,7,0,24,35,60,50,0,0,0,68,51,97,0,26,13,32,42,73,33,0,0,17,10,46,64,1,59,63,0,23,0,31,15,41,96,0,25,37,0,0,34,40,0,46,8,0,0,16,0,19,0,51,34,17,7,45,19,47,41,52,40,0,0,67,90,55,38,53,67,0,11,37,57,0,34,0,26,25,46,9,93,4,26,0,22,48,32,1,0,29,23,27,35,63,34,43,60,58,32,25,0,42,0,0,25,0,0,21,58,0,41,31,35,33,69,20,23,0,40,0,15,47,14,62,65,64,6,0,0,14,54,0,0,55,0,0,21,0
4,2017-01-29,83,2,12,49,0,56,0,14,11,14,15,53,65,100,24,20,41,76,0,74,90,0,0,0,74,0,54,68,35,10,17,0,40,47,46,62,12,26,0,0,98,13,24,92,23,0,0,57,70,8,0,9,0,0,0,31,6,50,0,17,0,64,0,16,56,0,47,0,0,73,86,6,22,0,0,78,92,0,30,27,66,3,13,65,0,0,17,48,0,33,12,30,38,20,44,0,32,0,45,15,41,29,9,79,15,49,10,0,58,55,81,4,15,33,94,23,37,0,0,56,0,86,54,20,0,74,11,100,58,27,0,24,57,16,19,0,0,70,18,22,33,5,8,29,7,38,20,47,22,0,0,13,81,0,58,5,0,35,17,25,0,0,70,48,51,29,48,38,0,42,20,0,34,0,48,8,89,43,0,49,37,34,49,59,0,27,0,0,0,38,45,38,24,0,0,21,0,22,45,5,33,72,0,49,52,41,63,13,24,13,55,34,6,60,10,75,23,35,44,45,43,0,24,50,18,0,25,41,26,0,31,23,37,19,0,50,58,60,22,0,35,0,42,25,0,88,25,27,0,77,16,32,69,0,0,78,0,46,24,11,22,11,7,97,100,82,5,19,0,68,20,0,18,8,20,29,58,65,0,46,55,25,0,48,25,21,47,0,55,64,24,6,18,39,0,0,82,0,43,53,20,22,0,64,0,0,43,3,0,42,0,25,44,26,0,89,14,11,28,23,95,46,8,42,23,35,40,0,17,0,1,25,15,0,4,53,30,0,0,0,8,16,18,42,48,15,31,28,24,0,38,0,80,48,9,25,0,12,79,3,16,0,0,0,60,91,38,42,0,47,0,48,49,66,0,23,77,56,0,24,26,16,0,22,100,0,0,100,0,0,15,63,2,66,39,29,54,0,31,46,44,0,0,49,0,0,0,34,33,33,42,16,33,0,12,0,0,0,73,33,0,7,35,0,23,0,0,0,0,15,0,95,43,0,75,37,0,11,0,67,17,20,32,13,0,23,9,73,11,30,24,7,98,100,1,0,29,37,14,14,62,50,12,55,58,31,0,0,21,100,0,49,0,0,20,34,0,20,21,43,22,80,34,11,0,39,33,9,47,42,0,52,57,13,25,0,18,49,0,0,33,31,33,18,0
5,2017-02-05,75,4,37,18,24,48,30,19,11,0,15,11,48,39,23,20,57,80,20,60,0,0,0,49,18,6,41,67,0,19,8,0,44,81,31,70,8,12,0,0,24,11,24,39,46,0,0,49,20,44,42,4,0,24,0,31,6,45,64,17,0,53,0,12,50,0,0,24,0,73,51,17,0,0,0,72,31,19,13,50,16,8,38,26,0,0,50,61,97,11,0,0,19,20,44,0,32,26,48,15,34,27,18,74,43,22,19,22,29,32,76,11,15,33,45,8,45,28,38,80,10,0,57,50,0,63,11,36,53,14,27,0,23,16,19,0,0,44,0,30,0,4,24,43,7,34,39,47,33,0,12,9,83,0,75,0,0,31,17,49,9,0,35,54,51,0,21,38,0,21,0,0,23,0,42,4,85,34,0,24,36,39,0,47,19,68,0,0,33,94,37,0,0,0,0,42,39,22,40,15,53,72,26,46,67,20,31,13,56,38,43,0,28,69,20,100,46,40,0,23,0,24,0,35,18,15,50,0,25,32,0,23,36,0,0,53,56,20,22,0,13,0,30,14,0,50,0,0,0,65,32,16,67,0,33,78,0,0,24,16,22,7,34,77,87,50,0,20,0,17,15,0,36,30,0,51,56,69,0,57,41,0,0,80,31,0,0,0,0,59,24,12,0,19,44,0,71,0,26,64,69,66,0,45,100,21,35,4,0,56,32,74,29,18,90,86,42,19,28,18,79,61,4,98,23,0,27,0,50,11,1,25,23,15,6,44,8,0,32,0,14,15,30,21,0,0,31,50,0,16,23,0,58,0,9,0,0,31,20,8,33,0,0,25,44,83,29,14,19,56,68,27,49,0,0,23,50,51,24,0,25,22,31,35,57,0,0,33,16,10,9,16,1,100,36,29,38,0,0,54,49,0,66,24,0,0,0,67,36,0,42,16,0,94,16,0,37,0,78,31,0,21,35,0,0,0,34,39,25,0,0,84,48,18,47,28,0,11,0,72,17,20,32,13,0,15,51,46,22,65,0,10,51,54,0,0,43,18,11,21,0,43,6,62,64,42,24,0,10,50,0,0,0,10,20,25,0,53,17,31,43,89,14,22,0,10,0,14,0,0,0,58,49,13,49,0,12,58,100,0,22,31,0,18,0
6,2017-02-12,75,2,6,29,12,51,0,29,35,0,31,65,43,43,12,0,25,46,41,89,0,0,22,50,19,0,0,57,0,29,34,0,33,12,54,23,8,14,5,0,25,17,0,53,46,21,0,51,20,30,0,5,0,0,0,0,8,41,0,6,0,78,0,4,37,0,10,0,0,0,78,36,0,0,0,73,62,19,30,62,33,4,37,39,0,39,25,73,0,11,0,0,39,0,45,0,41,0,50,38,44,21,27,86,29,45,49,0,73,44,79,0,30,0,58,25,72,0,77,46,0,29,42,21,0,54,8,62,55,18,14,0,23,15,24,0,0,68,73,0,0,4,8,29,14,38,60,23,56,6,0,8,77,45,56,8,0,30,17,36,9,24,34,41,60,20,7,19,0,42,20,0,0,0,37,4,93,38,0,12,24,59,0,24,0,42,0,0,0,37,36,38,0,0,34,21,40,68,35,12,37,35,0,50,63,18,0,13,57,38,43,0,17,69,21,25,42,40,0,44,22,47,0,25,37,15,12,14,13,0,0,0,18,0,36,50,74,20,23,42,18,0,37,20,0,72,0,13,0,62,17,32,77,0,0,59,0,0,24,29,17,18,0,70,90,56,15,21,0,17,62,0,36,44,59,29,100,62,19,29,14,25,0,74,13,53,16,0,0,65,0,9,18,0,0,5,81,29,40,57,10,22,0,39,0,21,32,12,0,0,33,25,60,26,0,88,29,19,14,28,78,55,9,57,35,36,31,0,85,0,0,25,16,45,5,72,15,0,33,65,6,17,42,43,48,15,0,51,37,0,15,0,78,0,0,26,0,18,70,5,0,0,0,0,66,14,68,14,0,72,35,43,48,0,0,23,30,53,24,0,26,43,31,36,14,11,0,68,49,10,19,0,0,74,66,0,54,0,31,46,46,0,0,50,0,0,0,0,27,17,43,8,0,0,8,0,0,0,61,38,0,7,27,0,70,0,17,0,0,15,0,79,55,19,100,28,50,10,19,70,0,20,0,13,0,23,0,56,4,50,25,2,47,52,2,0,42,21,24,20,0,45,61,30,61,32,75,0,10,0,0,25,0,10,21,38,0,54,3,21,11,71,34,34,0,49,100,8,0,14,0,71,64,10,25,49,16,72,34,0,65,31,0,18,37
7,2017-02-19,75,0,25,21,12,49,0,5,47,0,16,33,47,69,0,21,25,69,21,77,0,0,0,0,19,7,14,66,0,0,13,0,62,48,31,62,15,13,5,99,25,10,0,89,0,0,0,54,10,14,0,18,0,25,0,0,6,49,0,6,69,63,0,8,44,0,39,0,0,75,26,18,11,0,0,74,0,59,13,55,67,3,26,40,1,0,9,61,0,56,13,0,39,0,60,0,33,0,48,46,36,14,18,51,45,39,29,0,15,48,88,9,0,33,25,11,45,0,26,63,0,0,42,0,33,64,3,42,57,14,28,0,23,32,15,0,0,75,73,15,68,4,25,29,7,39,0,0,11,6,12,7,80,0,77,0,0,30,0,49,0,0,0,42,26,20,14,0,0,21,21,31,23,0,33,16,82,18,0,25,19,27,0,60,20,0,83,0,0,38,33,0,49,0,0,21,0,34,41,10,47,45,27,50,42,18,21,0,25,13,24,0,11,70,10,0,38,64,75,23,22,0,25,41,37,30,76,56,26,0,0,47,19,20,0,33,81,20,11,28,22,0,37,23,46,55,0,0,0,55,17,22,70,0,33,66,0,24,0,26,11,15,0,70,90,57,10,22,24,51,52,0,26,38,20,15,62,67,39,59,14,25,0,66,44,0,48,0,56,58,0,14,0,0,0,0,85,0,55,74,20,30,0,52,25,21,42,4,0,14,0,25,45,16,0,92,0,3,28,28,95,39,9,0,58,36,26,0,34,12,1,0,63,15,6,54,23,0,0,49,8,18,37,22,0,0,0,28,0,8,31,0,60,0,5,26,0,12,10,5,17,0,0,25,60,36,44,21,39,34,35,77,99,0,0,0,34,56,48,25,13,30,32,39,44,22,0,68,0,10,15,32,1,41,73,0,23,0,0,47,35,0,0,50,37,0,0,17,17,0,40,0,67,0,8,48,19,0,66,59,0,35,41,19,47,0,0,0,26,0,0,77,63,0,29,38,0,21,19,100,0,7,0,26,0,15,26,75,8,21,50,10,57,38,1,0,29,25,27,35,21,40,18,68,58,21,25,0,0,0,0,100,0,0,0,41,27,54,17,39,22,91,15,11,0,30,67,21,95,14,0,83,61,6,25,0,20,80,34,29,66,31,34,18,0
8,2017-02-26,76,6,18,29,12,72,15,5,33,0,30,83,52,62,46,19,71,68,0,75,0,0,41,0,90,12,0,64,0,9,28,0,77,45,45,58,12,11,0,0,24,12,24,42,89,40,0,49,39,15,0,73,30,24,25,0,9,44,63,11,0,73,0,4,71,0,27,23,0,28,83,62,11,0,0,79,0,74,19,84,16,5,96,13,1,0,32,41,47,32,0,29,37,19,36,0,31,0,51,29,33,11,60,90,28,53,19,21,42,33,85,4,29,0,37,14,62,0,24,58,0,28,35,10,0,72,15,40,58,4,40,0,55,30,35,0,0,59,0,22,32,6,8,28,13,37,19,22,11,0,0,5,78,0,75,0,0,34,16,12,0,23,33,46,25,19,7,74,0,61,0,0,33,0,39,22,75,21,0,59,12,38,0,34,0,13,39,47,0,53,34,0,23,0,32,41,38,43,37,9,32,34,0,57,50,32,40,0,55,37,57,0,16,69,39,73,50,57,57,42,42,68,0,29,0,0,12,13,12,63,0,45,18,19,0,50,73,19,22,66,21,0,33,36,15,63,0,0,0,86,32,26,66,24,0,67,0,22,23,43,22,21,0,76,92,73,10,17,46,16,44,24,17,14,19,56,70,56,0,33,40,0,0,55,30,41,38,35,0,70,0,13,34,19,0,5,100,0,69,51,29,7,0,56,24,20,42,3,0,41,0,48,57,13,87,94,0,5,13,4,73,37,8,27,44,34,32,0,16,11,1,0,0,29,4,52,7,0,0,16,10,16,23,41,0,0,30,38,24,16,15,0,71,0,13,0,0,0,67,12,16,0,0,72,46,41,51,14,37,41,0,57,0,0,47,0,45,58,23,0,50,47,90,31,55,0,25,0,31,15,18,30,1,58,63,0,45,0,30,59,32,0,0,24,0,0,0,16,10,16,37,8,32,0,8,0,54,0,61,62,0,0,51,18,22,20,0,0,24,0,0,83,63,0,41,54,0,100,0,71,17,19,0,12,0,44,17,62,4,31,0,12,45,50,1,0,40,35,18,7,0,43,35,36,62,10,0,0,10,94,0,0,0,0,0,45,0,32,10,25,21,85,14,32,0,57,32,12,0,13,0,28,56,5,0,0,17,62,32,0,42,30,0,15,0
9,2017-03-05,72,2,12,14,0,52,15,5,22,13,60,31,40,38,11,20,63,48,39,100,0,0,21,0,36,0,0,60,0,9,8,0,54,45,45,30,13,11,0,94,0,15,0,55,67,20,0,47,39,19,0,17,0,0,13,30,7,53,0,22,0,77,0,0,25,0,27,69,0,0,50,45,0,0,0,74,0,19,26,62,32,6,25,38,0,19,8,60,0,53,12,0,19,10,43,36,29,13,53,15,43,13,77,61,28,27,19,0,28,43,85,13,29,33,29,6,48,27,12,50,0,0,38,10,0,52,5,32,55,26,53,23,11,46,5,0,0,99,35,14,99,4,8,0,20,78,19,23,32,0,12,7,90,0,76,0,0,32,0,24,28,0,0,48,66,19,20,19,0,20,0,90,22,52,39,19,83,28,46,36,23,37,47,34,0,0,0,0,64,55,36,0,23,0,0,0,38,32,37,7,26,44,25,51,35,27,20,38,39,24,61,0,5,63,30,24,54,48,14,44,21,0,24,34,36,29,25,13,37,0,31,0,18,38,0,45,69,0,55,40,17,19,31,17,0,43,0,0,0,60,32,41,63,49,0,73,0,0,0,29,5,16,0,92,90,100,0,22,0,33,45,0,31,22,0,14,61,56,0,56,27,72,0,63,12,10,15,0,0,61,0,16,0,0,21,0,86,28,47,43,19,7,0,62,73,20,41,4,0,0,0,48,29,30,0,93,14,8,27,31,81,45,9,82,11,0,29,0,16,11,0,0,45,14,4,60,15,0,0,16,6,14,29,21,46,0,30,22,36,8,22,0,68,0,0,0,0,30,67,5,0,0,0,48,48,81,14,14,19,41,0,36,72,0,0,22,46,50,0,0,0,6,30,12,14,11,0,0,0,10,17,0,1,66,51,0,37,0,0,30,39,30,0,24,0,38,0,98,10,16,35,8,0,0,16,92,0,0,54,56,16,7,43,37,0,0,17,0,0,14,0,71,55,36,41,9,0,52,18,63,0,26,0,12,0,23,50,44,4,23,24,2,54,44,2,0,42,34,31,27,0,40,41,61,56,20,24,0,40,0,37,0,0,0,60,35,0,52,17,34,11,96,5,11,0,28,32,8,0,0,0,51,35,10,0,0,20,56,33,0,22,60,0,20,0
